Name,Course,Date,Certificate_ID,Grade,Organization
Alice Johnson,Advanced Python & Agentic AI,"September 16, 2026",CERT-2026-001,Distinction,DeepMind Academy
Bob Smith,Data Science & Machine Learning,"September 16, 2026",CERT-2026-002,Honors,DeepMind Academy
Charlie Brown,Cloud Architecture & DevOps,"September 16, 2026",CERT-2026-003,Excellence,DeepMind Academy
Diana Prince,Full Stack Web Engineering,"September 16, 2026",CERT-2026-004,Distinction,DeepMind Academy
Emily Davis,Cybersecurity & Cryptography,"September 16, 2026",CERT-2026-005,Merit,DeepMind Academy
Emily Davis,Cybersecurity & Cryptography,"September 16, 2026",CERT-2026-006,Distinction,DeepMind Academy
Dr. Victor / Frankenstein,AI Agents & Autonomous Systems,"September 16, 2026",CERT-2026-007,Distinction,DeepMind Academy
Sarah: Connor,Robotics & Neural Automation,"September 16, 2026",CERT-2026-008,Distinction,DeepMind Academy
Neo *The One*,Quantum Computing & Algorithms,"September 16, 2026",CERT-2026-009,Distinction,DeepMind Academy
Alex <Ace> Morgan,Large Language Model Engineering,"September 16, 2026",CERT-2026-010,Honors,DeepMind Academy
Morgan | Taylor?,Prompt Engineering & Evaluation,"September 16, 2026",CERT-2026-011,Merit,DeepMind Academy
José María González,Deep Learning Fundamentals,"September 16, 2026",CERT-2026-012,Distinction,DeepMind Academy
Sravya Kondapalli,Agentic AI Mastery,"September 16, 2026",CERT-2026-013,Distinction,DeepMind Academy
